glass1.dat,OVER _ RandomForestClassifier
accuracy_score,0
f1_score,0.928
roc_auc_score,0
time,3.085
---
page-blocks0.dat,OVER _ ExtraTreesClassifier
accuracy_score,0
f1_score,0.994
roc_auc_score,0
time,7.148
---
kddcup-rootkit-imap_vs_back.dat,LGBMClassifier
accuracy_score,0
f1_score,1.0
roc_auc_score,0
time,3.236
---
