dataset,pre processing,algorithm,time,balanced accuracy,f1 score,roc auc,geometric mean,cohen kappa,final score
glass1.dat,BorderlineSMOTE,GradientBoostingClassifier,1.098,0.861,0.863,0.919,0.858,0.722,0.845
glass1.dat,NearMiss,LGBMClassifier,0.222,0.864,0.863,0.909,0.86,0.727,0.845
glass1.dat,NearMiss,XGBClassifier,0.443,0.864,0.86,0.909,0.86,0.727,0.844
glass1.dat,EditedNearestNeighbours,GradientBoostingClassifier,0.8,0.862,0.838,0.934,0.858,0.729,0.844
glass1.dat,BorderlineSMOTE,LGBMClassifier,0.337,0.859,0.862,0.924,0.856,0.717,0.844
glass1.dat,ADASYN,XGBClassifier,0.556,0.856,0.855,0.936,0.854,0.712,0.843
glass1.dat,SVMSMOTE,LGBMClassifier,0.322,0.857,0.859,0.928,0.855,0.714,0.843
glass1.dat,KMeansSMOTE,GradientBoostingClassifier,0.99,0.859,0.854,0.923,0.857,0.717,0.842
glass1.dat,ADASYN,LGBMClassifier,0.35,0.856,0.855,0.935,0.855,0.71,0.842
glass1.dat,SMOTETomek,GradientBoostingClassifier,1.165,0.855,0.856,0.93,0.854,0.711,0.841
glass1.dat,InstanceHardnessThreshold,AdaBoostClassifier,0.978,0.862,0.858,0.902,0.859,0.723,0.841
glass1.dat,ADASYN,GradientBoostingClassifier,0.975,0.856,0.854,0.926,0.854,0.712,0.84
glass1.dat,KMeansSMOTE,LGBMClassifier,0.337,0.852,0.851,0.937,0.85,0.704,0.839
glass1.dat,NearMiss,RandomForestClassifier,2.43,0.857,0.849,0.913,0.853,0.713,0.837
glass1.dat,AllKNN,RandomForestClassifier,2.238,0.849,0.822,0.955,0.841,0.713,0.836
glass1.dat,NeighbourhoodCleaningRule,RandomForestClassifier,2.44,0.845,0.833,0.948,0.841,0.691,0.832
glass1.dat,NeighbourhoodCleaningRule,LGBMClassifier,0.248,0.846,0.835,0.935,0.843,0.693,0.83
glass1.dat,NeighbourhoodCleaningRule,XGBClassifier,0.397,0.842,0.833,0.937,0.84,0.684,0.827
glass1.dat,NearMiss,GradientBoostingClassifier,0.802,0.846,0.841,0.899,0.843,0.692,0.824
glass1.dat,ADASYN,BaggingClassifier,0.633,0.843,0.838,0.905,0.841,0.686,0.823
glass1.dat,SMOTE,BaggingClassifier,0.876,0.843,0.837,0.909,0.841,0.687,0.823
glass1.dat,SMOTETomek,BaggingClassifier,0.547,0.84,0.838,0.914,0.839,0.68,0.822
glass1.dat,SVMSMOTE,BaggingClassifier,0.733,0.841,0.836,0.913,0.839,0.681,0.822
glass1.dat,SMOTETomek,AdaBoostClassifier,1.291,0.842,0.844,0.884,0.841,0.685,0.819
glass1.dat,NearMiss,ExtraTreesClassifier,2.123,0.837,0.828,0.918,0.833,0.674,0.818
glass1.dat,BorderlineSMOTE,BaggingClassifier,0.575,0.835,0.83,0.904,0.832,0.67,0.814
glass1.dat,NeighbourhoodCleaningRule,GradientBoostingClassifier,0.841,0.828,0.815,0.938,0.825,0.658,0.813
glass1.dat,KMeansSMOTE,BaggingClassifier,0.55,0.834,0.826,0.908,0.831,0.668,0.813
glass1.dat,EditedNearestNeighbours,BaggingClassifier,0.537,0.831,0.799,0.905,0.823,0.675,0.807
glass1.dat,RandomOverSampler,AdaBoostClassifier,1.068,0.832,0.838,0.872,0.83,0.665,0.807
glass1.dat,NeighbourhoodCleaningRule,BaggingClassifier,0.52,0.821,0.804,0.914,0.817,0.647,0.801
glass1.dat,NeighbourhoodCleaningRule,AdaBoostClassifier,1.018,0.828,0.816,0.873,0.825,0.656,0.8
glass1.dat,RandomUnderSampler,ExtraTreesClassifier,2.083,0.819,0.812,0.912,0.815,0.637,0.799
glass1.dat,KMeansSMOTE,AdaBoostClassifier,1.094,0.824,0.819,0.878,0.821,0.647,0.798
glass1.dat,RandomUnderSampler,RandomForestClassifier,2.42,0.812,0.805,0.905,0.808,0.624,0.791
glass1.dat,TomekLinks,RandomForestClassifier,2.479,0.813,0.759,0.916,0.798,0.653,0.788
glass1.dat,AllKNN,BaggingClassifier,0.526,0.812,0.777,0.899,0.804,0.635,0.785
glass1.dat,RandomUnderSampler,GradientBoostingClassifier,0.819,0.807,0.803,0.884,0.805,0.614,0.783
glass1.dat,TomekLinks,ExtraTreesClassifier,2.653,0.803,0.749,0.932,0.789,0.636,0.782
glass1.dat,TomekLinks,LGBMClassifier,0.259,0.813,0.761,0.896,0.808,0.63,0.782
glass1.dat,OneSidedSelection,ExtraTreesClassifier,2.085,0.804,0.751,0.926,0.789,0.637,0.781
glass1.dat,OneSidedSelection,XGBClassifier,0.498,0.81,0.758,0.894,0.803,0.626,0.778
glass1.dat,RandomUnderSampler,LGBMClassifier,0.224,0.803,0.799,0.877,0.8,0.606,0.777
glass1.dat,TomekLinks,XGBClassifier,0.484,0.807,0.753,0.897,0.798,0.626,0.776
glass1.dat,SMOTE,AdaBoostClassifier,1.159,0.804,0.806,0.856,0.801,0.608,0.775
glass1.dat,OneSidedSelection,RandomForestClassifier,2.419,0.803,0.747,0.905,0.786,0.636,0.775
glass1.dat,NearMiss,AdaBoostClassifier,1.037,0.809,0.804,0.84,0.804,0.618,0.775
glass1.dat,RandomUnderSampler,XGBClassifier,0.409,0.795,0.793,0.901,0.791,0.59,0.774
glass1.dat,ClusterCentroids,ExtraTreesClassifier,1.987,0.798,0.79,0.891,0.793,0.595,0.773
glass1.dat,AllKNN,AdaBoostClassifier,0.973,0.813,0.783,0.831,0.808,0.627,0.772
glass1.dat,-,ExtraTreesClassifier,2.107,0.799,0.739,0.911,0.783,0.625,0.771
glass1.dat,EditedNearestNeighbours,AdaBoostClassifier,0.974,0.807,0.771,0.848,0.801,0.616,0.769
glass1.dat,TomekLinks,GradientBoostingClassifier,0.875,0.8,0.741,0.889,0.787,0.617,0.767
glass1.dat,-,RandomForestClassifier,2.312,0.795,0.733,0.901,0.779,0.619,0.765
glass1.dat,-,LGBMClassifier,3.736,0.801,0.74,0.885,0.794,0.601,0.764
glass1.dat,ADASYN,AdaBoostClassifier,1.412,0.796,0.792,0.841,0.794,0.591,0.763
glass1.dat,BorderlineSMOTE,AdaBoostClassifier,1.114,0.793,0.795,0.847,0.79,0.585,0.762
glass1.dat,NearMiss,BaggingClassifier,0.574,0.793,0.78,0.856,0.788,0.587,0.761
glass1.dat,-,XGBClassifier,1.013,0.796,0.734,0.887,0.788,0.598,0.761
glass1.dat,OneSidedSelection,LGBMClassifier,0.255,0.792,0.733,0.889,0.785,0.581,0.756
glass1.dat,OneSidedSelection,GradientBoostingClassifier,0.865,0.79,0.73,0.884,0.778,0.593,0.755
glass1.dat,SVMSMOTE,AdaBoostClassifier,1.808,0.782,0.783,0.843,0.78,0.564,0.75
glass1.dat,ClusterCentroids,RandomForestClassifier,2.242,0.779,0.777,0.858,0.775,0.558,0.749
glass1.dat,RandomUnderSampler,BaggingClassifier,0.522,0.774,0.758,0.866,0.769,0.548,0.743
glass1.dat,-,GradientBoostingClassifier,0.834,0.781,0.714,0.867,0.77,0.574,0.741
glass1.dat,RandomUnderSampler,AdaBoostClassifier,1.018,0.775,0.773,0.809,0.77,0.549,0.735
glass1.dat,ClusterCentroids,LGBMClassifier,0.23,0.761,0.763,0.847,0.755,0.521,0.729
glass1.dat,ClusterCentroids,XGBClassifier,0.41,0.753,0.754,0.839,0.749,0.505,0.72
glass1.dat,TomekLinks,BaggingClassifier,0.791,0.758,0.684,0.856,0.744,0.53,0.714
glass1.dat,OneSidedSelection,BaggingClassifier,0.543,0.758,0.684,0.843,0.741,0.533,0.712
glass1.dat,ClusterCentroids,GradientBoostingClassifier,0.77,0.737,0.741,0.819,0.735,0.474,0.701
glass1.dat,ClusterCentroids,BaggingClassifier,0.545,0.738,0.73,0.818,0.734,0.477,0.699
glass1.dat,OneSidedSelection,AdaBoostClassifier,1.027,0.754,0.682,0.79,0.743,0.516,0.697
glass1.dat,TomekLinks,AdaBoostClassifier,1.267,0.743,0.668,0.795,0.732,0.497,0.687
glass1.dat,-,BaggingClassifier,0.569,0.733,0.644,0.834,0.709,0.493,0.683
glass1.dat,-,AdaBoostClassifier,0.997,0.719,0.628,0.772,0.702,0.448,0.654
glass1.dat,ClusterCentroids,AdaBoostClassifier,0.962,0.7,0.703,0.746,0.693,0.4,0.648
glass1.dat,CondensedNearestNeighbour,ExtraTreesClassifier,2.044,0.663,0.8,0.771,0.627,0.339,0.64
glass1.dat,CondensedNearestNeighbour,AdaBoostClassifier,0.963,0.685,0.791,0.691,0.666,0.368,0.64
glass1.dat,CondensedNearestNeighbour,RandomForestClassifier,2.231,0.659,0.804,0.778,0.618,0.334,0.639
glass1.dat,CondensedNearestNeighbour,GradientBoostingClassifier,0.718,0.671,0.793,0.728,0.644,0.351,0.637
glass1.dat,CondensedNearestNeighbour,LGBMClassifier,0.238,0.666,0.765,0.718,0.648,0.327,0.625
glass1.dat,CondensedNearestNeighbour,XGBClassifier,0.376,0.653,0.786,0.728,0.624,0.319,0.622
glass1.dat,CondensedNearestNeighbour,BaggingClassifier,0.524,0.634,0.765,0.726,0.608,0.274,0.601
