dataset,pre processing,algorithm,time,accuracy,f1 score,roc auc
glass1.dat,OVER,RandomForestClassifier,2.225,0.926,0.928,0.969
page-blocks0.dat,OVER,ExtraTreesClassifier,6.832,0.994,0.994,0.999
car-good.dat,OVER,ExtraTreesClassifier,2.881,0.996,0.997,1.0
